mass,limit_95,med_limit,2sigma_up,1sigma_up,1sigma_down,test_statistic
0.13652,7.682707574716806e-10,1.216170840506944e-09,1.8047044764518045e-09,1.5388330805252961e-09,7.682707574716806e-10,-1.2725761715899095
0.13657,7.40427041595719e-10,1.198591248045679e-09,1.7927450593684627e-09,1.524880064633742e-09,7.40427041595719e-10,-1.7314397499750163
0.13661,7.60340914767313e-10,1.2112136946943152e-09,1.801349750215614e-09,1.534912105125745e-09,7.60340914767313e-10,-1.9494504378751996
0.13666,7.734140375039374e-10,1.2195698136613776e-09,1.8072567274521174e-09,1.5416706826569116e-09,7.734140375039374e-10,-1.454720531360354
0.1367,8.775869500038653e-10,1.209824196858081e-09,1.8007290698965078e-09,1.5340002085143762e-09,7.577448688708085e-10,-0.7790164978157151
0.13674,1.2351693577665036e-09,1.2094315123508741e-09,1.8001697394923105e-09,1.5335165599478296e-09,7.574721037884539e-10,0.07134444697286584
0.13679,1.5592397494783212e-09,1.2073961571417606e-09,1.798459223973589e-09,1.5317058643317075e-09,7.546534065715465e-10,1.0920611692996949
0.13683,1.6710327371767093e-09,1.214122592722776e-09,1.802549991096984e-09,1.5367580153699575e-09,7.659349091770925e-10,1.5011882367049025
0.13688,1.7053762889450546e-09,1.209491015324247e-09,1.7994741691575126e-09,1.5331284214979234e-09,7.58463296272736e-10,1.6317447892191022
0.13692,1.6776151791370906e-09,1.1975009080031157e-09,1.791364016048298e-09,1.5236358515319648e-09,7.394828236025675e-10,1.525655810308957
0.13697,1.5608601714261785e-09,1.2094880564404232e-09,1.799885731399607e-09,1.533367015391129e-09,7.579760481097491e-10,1.0977071205365039
0.13701,1.4466977923511023e-09,1.2102284658474614e-09,1.8005682385620747e-09,1.5340599348355368e-09,7.589375901024823e-10,0.7102903977641936
0.13706,1.2827131668164073e-09,1.2079793917186625e-09,1.798904174203671e-09,1.5321978935803068e-09,7.555181045960241e-10,0.20715934042247172
