mass,limit_95,med_limit,2sigma_up,1sigma_up,1sigma_down,test_statistic
0.1039,2.017070308341051e-09,3.2497268229105024e-09,4.852298509923881e-09,4.129522558245244e-09,2.017070308341051e-09,-1.2417000357158234
0.10394,2.0731799941908893e-09,3.2796406189260775e-09,4.865422172213214e-09,4.149014308952864e-09,2.0731799941908893e-09,-1.153973288889284
0.10398,2.186654878810044e-09,3.245898786529758e-09,4.8440311218368595e-09,4.12313356999946e-09,2.0178550896512372e-09,-0.9051784647579021
0.10401,2.1463933779951605e-09,3.2607668413802713e-09,4.8561882748983385e-09,4.136128441956524e-09,2.0389871903682504e-09,-0.933357248956617
0.10405,2.534515909981343e-09,3.2546066940034273e-09,4.847777614242725e-09,4.1287406516956526e-09,2.034363507020375e-09,-0.6495112160749904
0.10408,2.7743941987089093e-09,3.2528902030281105e-09,4.845581187527458e-09,4.12677005745649e-09,2.032889620130856e-09,-0.45122532580423763
0.10412,3.1704604247939476e-09,3.2539652448148607e-09,4.843907414388341e-09,4.12620721803274e-09,2.037476157189791e-09,-0.08327242475800067
0.10416,3.5812803334721836e-09,3.2457204399249893e-09,4.837373033611332e-09,4.119134002096844e-09,2.025426823424899e-09,0.34890701572622307
0.10419,3.6125726581292483e-09,3.246350994386382e-09,4.8373303472957075e-09,4.119362699216233e-09,2.0269505798722705e-09,0.38458755064289746
0.10423,3.832186666861796e-09,3.242986403759653e-09,4.8304039364849605e-09,4.113951500197708e-09,2.0272346867606745e-09,0.647162960787384
0.10426,3.767221194554831e-09,3.2497961445300115e-09,4.831621524460937e-09,4.117314862369636e-09,2.0423375953411276e-09,0.5761080941712539
0.1043,3.5723641462031177e-09,3.2358797784079925e-09,4.819162100415261e-09,4.104509687635504e-09,2.023828235703008e-09,0.357099437678987
0.10434,3.4672633463626806e-09,3.2416591222079357e-09,4.82243893769118e-09,4.108692441779504e-09,2.033900881319991e-09,0.24202960753967412
0.10437,3.3974907600625734e-09,3.2320992046296135e-09,4.812311054329325e-09,4.0989992676965024e-09,2.0229088091424088e-09,0.17179698595414866
0.10441,3.7949975525154085e-09,3.2281472578032983e-09,4.803848606224592e-09,4.092498866953752e-09,2.0233468987459358e-09,0.6314991737408843
0.10444,3.950298300622344e-09,3.2181954666244358e-09,4.796398987681749e-09,4.0842101649574996e-09,2.0083252999545836e-09,0.8229047176818906
0.10448,3.95426440572615e-09,3.223062578960431e-09,4.79527949575744e-09,4.085471859694513e-09,2.021310960999876e-09,0.8361810420650008
0.10452,3.817950678937393e-09,3.2261515079263e-09,4.79323991162814e-09,4.085482589179374e-09,2.031231057000284e-09,0.6753055604427811
0.10455,3.333444270544503e-09,3.2153004367040105e-09,4.786325949249217e-09,4.077159133316015e-09,2.0133420894954802e-09,0.12328504706220521
0.10459,3.019786373823444e-09,3.2126895552087123e-09,4.77974365798667e-09,4.072276771703788e-09,2.014856492498889e-09,-0.18849802837034493
0.10462,2.6372993435909473e-09,3.2041627677961596e-09,4.773333236423134e-09,4.065169471915562e-09,2.0019442122387637e-09,-0.5335750840537444
0.10466,2.432557421696343e-09,3.2066328028403287e-09,4.773496902855182e-09,4.066251751147061e-09,2.0075906419032723e-09,-0.6983929704708646
0.1047,2.5429938989792816e-09,3.2044830992613218e-09,4.769454421970775e-09,4.063032632312135e-09,2.007237988873314e-09,-0.6084568296297105
0.10473,2.6583777978435767e-09,3.1983198989838464e-09,4.764993093887354e-09,4.057983348762146e-09,1.9977846752168193e-09,-0.5119819471069619
0.10477,3.0654020052014155e-09,3.206230221964072e-09,4.772444288946722e-09,4.065461947463621e-09,2.007955295752778e-09,-0.14091259417794122
0.1048,3.1780442497196114e-09,3.20630271580715e-09,4.772628730145021e-09,4.065587737430956e-09,2.0079768362968405e-09,-0.028435666272292194
0.10484,3.293480248557444e-09,3.204782608889336e-09,4.770925546916346e-09,4.0639748752518664e-09,2.006444505007846e-09,0.0921437257091033
0.10488,3.356041162328149e-09,3.2138424602999828e-09,4.784525977991679e-09,4.0754940239428086e-09,2.0121913040924644e-09,0.14875318559735154
0.10491,3.306747670488199e-09,3.2136159448485932e-09,4.784145732990869e-09,4.075174189071593e-09,2.0121434473519983e-09,0.09680622758091496
0.10495,3.5369902728114024e-09,3.212870767088668e-09,4.78379000806512e-09,4.074739727974703e-09,2.010372469357528e-09,0.3469076164684719
0.10498,3.2572225297008807e-09,3.211278489716753e-09,4.780451495098609e-09,4.072129599522698e-09,2.0106737607599025e-09,0.04741605904891021
0.10502,2.944378031034981e-09,3.213868214018582e-09,4.780270243823149e-09,4.073055614573897e-09,2.0170261008185763e-09,-0.2600653963098286
0.10506,2.4969265359206003e-09,3.1962030334944984e-09,4.768971966994734e-09,4.059465985573229e-09,1.9881281916167678e-09,-0.6493916489996914
0.10509,2.0292684901871704e-09,3.221132883847927e-09,4.784555951377201e-09,4.078451571826557e-09,2.0292684901871704e-09,-0.9950967264052625
0.10513,1.986647345858001e-09,3.1946984787893215e-09,4.7671067944016754e-09,4.057794097034282e-09,1.986647345858001e-09,-1.1716975142230612
0.10517,1.979665020390425e-09,3.190201901969717e-09,4.763911297351146e-09,4.054152743534436e-09,1.979665020390425e-09,-1.2307720134037863
0.1052,2.0401538289096582e-09,3.1918370112457705e-09,4.762881538221458e-09,4.054194098719937e-09,1.9847665083473365e-09,-0.9787556893481677
0.10524,2.711943943850639e-09,3.1997924085344617e-09,4.7672367497811445e-09,4.059874831471955e-09,1.998680492466465e-09,-0.4669682783205357
0.10527,3.162511361308777e-09,3.2025802098181462e-09,4.767730042872341e-09,4.0612473100775805e-09,2.0048682394292445e-09,-0.04127984242982478
0.10531,4.139365310377996e-09,3.196253347838898e-09,4.757899485988851e-09,4.052981248381295e-09,2.0014042615666942e-09,1.1141357030502943
0.10535,4.646086651256016e-09,3.1787709820008345e-09,4.7429858371752465e-09,4.0373094396943174e-09,1.9774468616554044e-09,1.8398571244028488
0.10538,4.952787538989934e-09,3.174225369899669e-09,4.736954777767282e-09,4.031963926944828e-09,1.973813289377723e-09,2.3246474203006158
0.10542,4.871394023762012e-09,3.1506566123135948e-09,4.721070642548241e-09,4.013334508162654e-09,1.936629009829992e-09,2.1943649787208948
0.10546,4.365441609557974e-09,3.152296314260606e-09,4.716942880861555e-09,4.011577972965855e-09,1.9452032257427743e-09,1.450469426322448
0.10549,3.864097514879442e-09,3.1851136057087666e-09,4.734683232667889e-09,4.0349549750803345e-09,2.0023772153032535e-09,0.78865843885735
0.10553,2.8255456781274213e-09,3.17379969595414e-09,4.722669339290988e-09,4.0234387113175165e-09,1.989566140529938e-09,-0.33916539848734856
0.10556,2.58417126070831e-09,3.1605778458213433e-09,4.704186879840354e-09,4.0073985267684675e-09,1.979723772476906e-09,-0.5446889735669731
0.1056,2.3710768325577696e-09,3.160247406184182e-09,4.696265961516619e-09,4.002607918374398e-09,1.988437272224253e-09,-0.7130266425482976
0.10564,2.139967692624581e-09,3.1348901620271616e-09,4.672682318259425e-09,3.978773906511751e-09,1.955671544232396e-09,-0.8819831592167571
0.10567,1.992931846185637e-09,3.1186818877391907e-09,4.65677196715265e-09,3.963043931366226e-09,1.935818586892206e-09,-0.98057760386044
0.10571,1.9492787818203107e-09,3.1223685479253853e-09,4.6527486525096e-09,3.9621499931376766e-09,1.9492787818203107e-09,-1.2812244973557867
